method,auroc
Eccentricity_inv,0.6904761904761905
EigValLaplacian_inv,0.6607142857142857
SentenceSAR_inv,0.6488095238095237
Semantic_Density_inv,0.6428571428571428
length_var,0.6190476190476191
NCD_avg_orig,0.5535714285714286
Lexical_Similarity_inv,0.5119047619047619
NumSemSets_inv,0.5089285714285714
Semantic_Entropy_inv,0.5089285714285714
DegMat_inv,0.5059523809523809
DegMat_orig,0.494047619047619
NumSemSets_orig,0.49107142857142855
Semantic_Entropy_orig,0.49107142857142855
Lexical_Similarity_orig,0.4880952380952381
NCD_avg_inv,0.4464285714285714
Semantic_Density_orig,0.3571428571428571
SentenceSAR_orig,0.35119047619047616
EigValLaplacian_orig,0.3392857142857143
Eccentricity_orig,0.30952380952380953
avg_length,0.07440476190476189
