Model,Method,AUROC,ECE
llama-3.1-8b-instant,TME,0.5632798573975044,0.14946390077252414
llama-3.1-8b-instant,Semantic_Entropy,0.5138146167557932,
llama-3.1-8b-instant,Lexical_Similarity,0.46167557932263814,
llama-3.1-8b-instant,Semantic_Density,0.39572192513368987,
llama-3.1-8b-instant,DegMat,0.4861853832442068,
llama-3.1-8b-instant,Eccentricity,0.47593582887700536,
qwen/qwen3-32b,TME,0.5793226381461676,0.10637323900896668
qwen/qwen3-32b,Semantic_Entropy,0.4982174688057041,
qwen/qwen3-32b,Lexical_Similarity,0.49376114081996436,
qwen/qwen3-32b,Semantic_Density,0.3966131907308378,
qwen/qwen3-32b,DegMat,0.47593582887700536,
qwen/qwen3-32b,Eccentricity,0.5909090909090909,
meta-llama/llama-4-scout-17b-16e-instruct,TME,0.5017825311942959,0.20877645352930424
meta-llama/llama-4-scout-17b-16e-instruct,Semantic_Entropy,0.5066844919786097,
meta-llama/llama-4-scout-17b-16e-instruct,Lexical_Similarity,0.6122994652406417,
meta-llama/llama-4-scout-17b-16e-instruct,Semantic_Density,0.4857397504456328,
meta-llama/llama-4-scout-17b-16e-instruct,DegMat,0.5115864527629234,
meta-llama/llama-4-scout-17b-16e-instruct,Eccentricity,0.5187165775401069,
OVERALL,TME,0.5477322242028125,0.1455681031737241
OVERALL,Semantic_Entropy,0.5090612002376708,
OVERALL,Lexical_Similarity,0.5320855614973262,
OVERALL,Semantic_Density,0.4328579916815211,
OVERALL,DegMat,0.4950980392156863,
OVERALL,Eccentricity,0.5199049316696376,
